BLOCKGRP,Land_Acres,UTC_Acres,POP_2013,Hispanic_pct,White_pct,Black_pct,NativeAmer_pct,Asian_pct,PacIsland_pct,OtherRace_pct,TwoPlus_pct,MedHshldIncome,Vacant_pct,Rent_pct,Value,NoHighSchool_pct,HighSchool_pct,College_pct,AdvDegree_pct
160010001001,173.8854891,41.63577727,1096,18.43065693,97.08029197,0,0,0,0,0,5.839416058,31742,25.13089005,89.51048951,275000,5.747126437,20.43422733,33.33333333,9.195402299
160010001002,341.0454725,78.71295412,980,1.428571429,74.18367347,0,9.183673469,4.387755102,0,0,24.48979592,24267,13.43085106,92.31950845,289300,10.64593301,36.12440191,26.19617225,7.655502392
160010001003,520.2139673,63.42874381,2070,4.154589372,74.58937198,5.217391304,0.6763285024,6.086956522,0,0.8212560386,25.2173913,17140,16.43385374,92.82202557,171900,5.423476969,17.45913819,28.15750371,8.320950966
160010002011,1221.14235,141.6235179,1844,2.006507592,97.39696312,0.6507592191,0,0.2711496746,0,1.355748373,0.6507592191,62976,11.25319693,34.870317,487500,2.370030581,10.09174312,45.71865443,16.20795107
160010002012,351.6113761,48.85249047,676,0,100,0,0,0,0,0,0,86845,0,36.01532567,379800,0,0,51.55131265,32.21957041
160010002013,238.4286309,46.92432704,730,0,96.71232877,1.780821918,0,0,0,0,3.01369863,47308,0,24.28571429,384100,0,2.226027397,43.15068493,32.53424658
160010002021,1279.012262,79.69371545,1540,7.662337662,92.79220779,0,0,1.688311688,0,4.545454545,1.948051948,91750,13.12292359,1.912045889,304100,0,7.033639144,37.5127421,29.35779817
160010002022,936.6428439,69.93774715,1266,9.636650869,95.57661927,1.421800948,0,1.974723539,0,1.02685624,0,122188,0,11.09215017,244900,0,13.74764595,32.86252354,24.67043315
160010002023,633.3161032,81.8193161,1629,0,98.58809085,0,0,1.411909147,0,0,0,121429,1.854974705,22.68041237,534200,0,4.042348412,41.48219442,12.80076997
160010002024,154.5851377,52.78171344,1237,4.042037187,95.06871463,0,0,4.931285368,0,0,0,79297,8.14159292,33.91136802,335100,0,3.989361702,41.4893617,33.24468085
160010003021,211.7781056,61.05233118,1089,1.836547291,96.96969697,2.295684114,0,0,0,0,1.469237833,52554,0,25.04638219,159800,0,20.04744958,38.55278766,9.964412811
160010003022,294.7555435,88.17363146,1907,5.820660724,90.9805978,1.940220241,0,0.8914525433,0,2.412165705,7.551127425,40025,4.516806723,57.75577558,193500,3.587736464,24.59230267,27.00587084,7.697325506
160010003031,458.1231328,129.577871,1812,14.79028698,92.66004415,0,0,2.593818985,0,3.311258278,2.869757174,36594,11.49328859,59.52606635,234300,0.6056527591,20.39030956,28.33109017,10.83445491
160010003041,381.6484371,73.28726085,2269,3.878360511,98.28118114,0,0.5288673424,0,0,0,2.379903041,56458,3.251231527,24.74541752,158700,0.7821901324,17.08784597,42.35860409,6.317689531
160010003042,374.8779893,85.85874807,2869,6.378529104,92.19240153,0.9759498083,0.592540955,3.136981527,0,0.4879749041,5.228302544,49906,3.69595537,30.41274439,170000,0.744047619,14.28571429,44.79166667,12.15277778
160010003043,259.1405886,55.41635121,1163,2.751504729,98.53826311,0,0,1.461736887,0,0,0,72819,6.563706564,17.14876033,186000,0,8.405438813,33.99258344,30.5315204
160010004001,144.7840493,41.32491867,1133,12.0917917,94.88084731,0,0,1.941747573,0,3.177405119,0,44750,3.886010363,38.81401617,128400,0,39.25570228,19.32773109,4.321728691
160010004002,342.8465751,95.60409084,2302,1.911381407,94.1789748,2.823631625,0,1.911381407,0,0,2.172024327,31172,11.15702479,76.93023256,162600,1.486486486,28.51351351,24.59459459,9.527027027
160010004003,74.42598023,21.40945896,627,18.50079745,86.92185008,0,0,13.07814992,0,0,0,38063,20.14563107,40.12158055,189300,0,16.14457831,52.77108434,12.28915663
160010004004,100.1928488,27.0303655,794,0,80.85642317,8.186397985,0,4.534005038,3.14861461,0,6.549118388,26528,9.023941068,63.56275304,188400,0,25.93283582,32.8358209,10.63432836
160010004005,221.5037327,70.87106425,1014,1.479289941,94.08284024,0,0,0,0,0,11.83431953,51436,8.380952381,40.74844075,122600,2.774108322,15.45574637,22.98546896,14.92734478
160010005001,225.4029237,69.74006283,1748,4.748283753,88.90160183,0,0,2.00228833,0,0,18.19221968,43186,3.038309115,32.83378747,182300,0.8880994671,11.19005329,35.25754885,14.12078153
160010005002,86.19570264,25.54748599,592,8.277027027,86.48648649,0,0,2.195945946,0,1.52027027,19.59459459,51471,0,29.69924812,180600,0,14.38356164,26.25570776,18.49315068
160010005003,135.6706192,49.27034571,1168,18.66438356,90.23972603,3.767123288,1.626712329,2.140410959,0,0,4.452054795,71103,4.355716878,29.98102467,287500,0,21.10429448,30.55214724,22.57668712
160010005004,157.575794,57.77892594,1612,3.846153846,93.42431762,0.7444168734,1.861042184,0,0,0,7.94044665,68056,5.650459921,27.43732591,257700,0,11.72584641,42.69199009,16.01981833
160010005005,159.3812901,44.8177535,979,10.11235955,88.45760981,0,0,8.273748723,0,0,6.537282942,48125,5.576208178,45.07874016,163400,0,19.07284768,34.56953642,5.82781457
160010006001,81.38780605,29.82067967,451,4.4345898,100,0,0,0,0,0,0,35417,21.13821138,59.79381443,188800,0,19.78609626,33.68983957,10.96256684
160010006002,117.302972,41.92390216,1420,3.098591549,90.77464789,2.253521127,0,0,0,3.098591549,7.746478873,48382,0,45.83333333,259500,0,17.09053917,36.31739573,13.53001017
160010006003,65.71230801,24.05917017,771,4.409857328,95.07133593,2.723735409,0,0,0,0,4.409857328,46979,6.824146982,59.15492958,520600,0,22.64150943,39.81132075,14.52830189
160010006004,72.95460618,26.55839418,914,14.11378556,98.46827133,0,0,1.531728665,0,0,0,46005,0,52.6652452,192400,0,15.71194763,39.60720131,20.62193126
160010006005,76.02103634,28.67979404,831,3.369434416,100,0,0,0,0,0,0,59891,0,28.44827586,288400,0,17.33333333,19.33333333,17
160010006006,103.7267142,36.85255804,1148,1.132404181,96.60278746,0,0,2.613240418,0,0,1.567944251,33417,5.991440799,51.44157815,275400,0,13.70010787,25.56634304,18.44660194
160010007011,268.3369022,93.71151058,1787,4.588696139,89.36765529,0,0,10.63234471,0,0,0,86108,0,23.31961591,268600,2.387843705,7.814761216,40.08683068,20.83936324
160010007012,168.017924,51.61611727,1181,1.524132091,89.33107536,0,1.778154107,6.096528366,0,0,5.588484335,37368,7.283763278,63.17512275,302800,0,13.98446171,47.94672586,11.87569367
160010007013,260.5415094,93.90598253,2064,4.408914729,86.82170543,0,0,6.05620155,0,1.841085271,10.5620155,44452,5.774278215,69.63788301,253000,0,9.943181818,36.93181818,24.00568182
160010007021,2151.944958,263.3076069,2812,4.623044097,91.50071124,2.418207681,0,4.409672831,0,0,3.342816501,111625,8.326105811,9.744560076,333100,2.082324455,5.714285714,38.062954,22.08232446
160010008021,91.35898971,22.47374192,607,4.283360791,100,0,0,0,0,0,0,44948,0,20.57877814,139600,0,24.77876106,23.45132743,2.876106195
160010008022,131.8167653,31.94282085,892,7.511210762,96.30044843,0,0,0,0,0,7.399103139,81618,0,21.47887324,161500,0,17.24137931,36.66061706,18.69328494
160010008023,174.46023,57.73271723,1166,7.204116638,88.33619211,1.80102916,0,0.7718696398,0,0,18.18181818,39000,1.954887218,25.15337423,169000,1.401401401,21.22122122,28.52852853,13.01301301
160010008024,287.1439479,76.56461977,3169,9.813821395,91.41685074,0,0,7.44714421,0,0.8204480909,0.6311139161,83953,8.47711928,38.60655738,260400,0,14.62047886,40.19358125,19.46001019
160010008031,103.5840966,26.78177746,1077,0.8356545961,85.51532033,5.849582173,7.149489322,0,0,0,2.971216342,56308,0,18.94736842,168500,2.033492823,26.9138756,23.32535885,20.33492823
160010008032,80.85921522,21.71488124,1219,4.265791632,52.58408532,4.511894996,0,0,37.24364233,0,11.32075472,43750,7.216494845,44.44444444,159700,0,33.62676056,25.35211268,4.049295775
160010008033,126.0805294,32.2746834,929,1.291711518,88.37459634,3.229278794,0,3.444564047,4.951560818,0,0,58000,0,32.39795918,181900,0,17.6744186,44.65116279,19.06976744
160010008034,246.5258278,70.95359745,1609,2.175264139,95.52517091,0.06215040398,0,0.5593536358,2.361715351,0.5593536358,1.864512119,67739,0,15.30460624,174000,0,18.39708561,35.428051,19.12568306
160010008041,279.2064908,79.07990564,3200,4.25,82.71875,3.8125,0,5.53125,0,0.53125,14.8125,37591,10.07705987,70.86354647,196600,1.36286201,13.34469052,35.43441227,15.44576945
